Date,City,NO2,O3,CO,PM2.5,AQI,Month,Wind_Speed,Precip,Temp,Target_AQI,AQI_Lag1,AQI_7Day_Mean
1999-01-29,Los Angeles,59.130435,0.014059,5.016667,35.5,101.0,1,4.8596,0.0,55.04,133.0,83.0,78.28571428571429
1999-01-30,Atlanta,13.0,0.0075,0.895833,47.6,131.0,1,12.63496,1.0000000000000002,53.96,60.0,97.0,85.85714285714286
1999-01-30,Los Angeles,54.434783,0.021647,4.504167,48.3,133.0,1,5.053984,0.0,53.96,69.0,101.0,82.71428571428571
1999-01-31,Atlanta,8.75,0.0075,0.541667,16.2,60.0,1,18.660864000000004,0.9212598425196852,41.0,43.0,131.0,87.85714285714286
1999-01-31,Los Angeles,35.0,0.028706,1.734783,20.8,69.0,1,8.552896,0.1889763779527559,53.96,90.0,133.0,80.0
1999-02-01,Atlanta,16.958333,0.0075,0.908333,10.2,43.0,2,12.829344,0.4094488188976378,39.02,70.0,60.0,84.85714285714286
1999-02-01,Los Angeles,46.521739,0.027882,3.778261,30.5,90.0,2,5.053984,0.0,53.96,80.0,69.0,85.14285714285714
1999-02-02,Atlanta,29.529412,0.0075,0.816667,21.3,70.0,2,3.88768,0.0,48.92,72.0,43.0,85.28571428571429
1999-02-02,Los Angeles,52.73913,0.020176,3.4,26.1,80.0,2,4.8596,0.0,59.0,103.0,90.0,88.85714285714286
1999-02-03,Atlanta,36.5,0.0075,1.6875,22.1,72.0,2,3.3045280000000004,0.0,53.96,54.0,70.0,82.71428571428571
1999-02-03,Los Angeles,63.434783,0.015353,4.047826,30.2,103.0,2,4.276448,0.0,57.02,96.0,80.0,94.14285714285714
1999-02-04,Atlanta,20.769231,0.0075,0.625,13.4,54.0,2,11.468656,0.1102362204724409,55.94,59.0,72.0,75.28571428571429
1999-02-04,Los Angeles,46.0,0.018118,3.3125,28.3,96.0,2,6.025904000000001,0.1889763779527559,53.96,75.0,103.0,96.0
1999-02-05,Atlanta,37.833333,0.0075,1.395833,15.9,59.0,2,3.88768,0.0,51.08,103.0,54.0,69.85714285714286
1999-02-05,Los Angeles,38.608696,0.016588,1.582609,23.3,75.0,2,5.83152,0.1299212598425197,53.96,66.0,96.0,92.28571428571429
1999-02-06,Atlanta,45.25,0.0075,1.6875,22.9,103.0,2,5.053984,0.0,57.02,60.0,59.0,65.85714285714286
1999-02-06,Los Angeles,38.478261,0.029882,1.470833,19.4,66.0,2,6.80344,0.0,55.94,71.0,75.0,82.71428571428571
1999-02-07,Atlanta,17.5,0.0075,0.891667,16.4,60.0,2,8.74728,0.0,60.98,57.0,103.0,65.85714285714286
1999-02-07,Los Angeles,37.782609,0.026882,1.669565,21.7,71.0,2,4.665216000000001,0.0118110236220472,53.96,74.0,66.0,83.0
1999-02-08,Atlanta,28.083333,0.0075,0.929167,15.1,57.0,2,4.470832000000001,0.0,59.0,82.0,60.0,67.85714285714286
1999-02-08,Los Angeles,35.652174,0.020059,1.658333,22.9,74.0,2,6.025904000000001,0.0,57.92,66.0,71.0,80.71428571428571
1999-02-09,Atlanta,31.208333,0.0075,1.925,27.0,82.0,2,3.110144,0.0,60.98,32.0,57.0,69.57142857142857
1999-02-09,Los Angeles,30.347826,0.031059,1.279167,19.4,66.0,2,8.164128,0.1692913385826771,53.06,50.0,74.0,78.71428571428571
1999-02-10,Atlanta,23.772727,0.0075,1.445833,24.4,32.0,2,2.526992,0.2283464566929134,62.059999999999995,71.0,82.0,63.857142857142854
1999-02-10,Los Angeles,40.73913,0.028588,1.513043,7.6,50.0,2,12.829344,0.0,51.98,86.0,66.0,71.14285714285714
1999-02-11,Atlanta,11.52381,0.0075,1.25,21.8,71.0,2,4.8596,0.0,64.94,38.0,32.0,66.28571428571429
1999-02-11,Los Angeles,52.73913,0.041,3.617391,28.7,86.0,2,5.053984,0.0,50.0,67.0,50.0,69.71428571428571
1999-02-12,Atlanta,17.916667,0.0075,0.625,18.8,38.0,2,9.913584000000002,0.0196850393700787,48.02,30.0,71.0,63.285714285714285
1999-02-12,Los Angeles,50.26087,0.025176,3.330435,19.6,67.0,2,6.9978240000000005,0.0,60.08,100.0,86.0,68.57142857142857
1999-02-13,Atlanta,13.333333,0.0075,0.495833,15.8,30.0,2,13.412496,0.0,35.96,52.0,38.0,52.857142857142854
1999-02-13,Los Angeles,58.695652,0.016941,3.358333,35.2,100.0,2,5.053984,0.0,57.92,98.0,67.0,73.42857142857143
1999-02-14,Atlanta,20.875,0.0075,0.716667,12.8,52.0,2,4.276448,0.0,37.94,62.0,30.0,51.714285714285715
1999-02-14,Los Angeles,46.173913,0.033824,2.616667,34.3,98.0,2,7.580976,0.0,53.06,79.0,100.0,77.28571428571429
1999-02-15,Atlanta,30.708333,0.0075,1.7375,15.4,62.0,2,3.88768,0.0,46.04,57.0,52.0,52.42857142857143
1999-02-15,Los Angeles,42.478261,0.024412,1.3875,25.6,79.0,2,5.637136000000001,0.0,55.04,114.0,98.0,78.0
1999-02-16,Atlanta,57.5,0.0075,1.6875,18.0,57.0,2,3.693296,0.0,50.0,69.0,62.0,48.857142857142854
1999-02-16,Los Angeles,55.521739,0.036882,2.266667,40.9,114.0,2,5.053984,0.0,53.96,154.0,79.0,84.85714285714286
1999-02-17,Atlanta,16.5,0.0075,0.866667,20.6,69.0,2,8.164128,0.4291338582677165,60.08,61.0,57.0,54.142857142857146
1999-02-17,Los Angeles,55.0,0.024412,2.465217,60.9,154.0,2,4.665216000000001,0.0,57.02,155.0,114.0,99.71428571428571
1999-02-18,Atlanta,27.409091,0.0075,0.95,16.9,61.0,2,4.8596,0.1299212598425197,50.0,36.0,69.0,52.714285714285715
1999-02-18,Los Angeles,60.565217,0.033765,2.1375,63.9,155.0,2,4.082064,0.0,55.94,119.0,154.0,109.57142857142857
1999-02-19,Atlanta,25.791667,0.0075,1.2625,17.0,36.0,2,6.025904000000001,0.2795275590551181,48.02,62.0,61.0,52.42857142857143
1999-02-19,Los Angeles,48.478261,0.025471,1.952174,42.8,119.0,2,6.414672,0.0,57.02,99.0,155.0,117.0
1999-02-20,Atlanta,22.166667,0.0075,0.645833,17.1,62.0,2,5.83152,0.0,46.04,58.0,36.0,57.0
1999-02-20,Los Angeles,55.869565,0.031294,3.3375,34.8,99.0,2,6.414672,0.0,57.92,61.0,119.0,116.85714285714286
1999-02-21,Atlanta,9.5,0.0075,0.433333,15.6,58.0,2,13.995648,0.0,39.02,59.0,62.0,57.857142857142854
1999-02-21,Los Angeles,43.434783,0.040471,1.645833,16.8,61.0,2,10.496736,0.0,60.08,64.0,99.0,111.57142857142857
1999-02-22,Atlanta,19.5,0.0075,0.683333,15.7,59.0,2,6.025904000000001,0.0,33.98,62.0,58.0,57.42857142857143
1999-02-22,Los Angeles,50.26087,0.032059,2.852174,13.1,64.0,2,8.358512,0.0,66.02000000000001,87.0,61.0,109.42857142857143
1999-02-23,Atlanta,18.285714,0.0075,1.05,17.2,62.0,2,6.220288,0.0196850393700787,39.02,96.0,59.0,58.142857142857146
1999-02-23,Los Angeles,59.913043,0.026647,3.404167,21.6,87.0,2,4.470832000000001,0.0,64.04,103.0,64.0,105.57142857142857
1999-02-24,Atlanta,21.75,0.0075,1.070833,33.6,96.0,2,5.637136000000001,0.0393700787401574,39.02,94.0,62.0,62.0
1999-02-24,Los Angeles,67.043478,0.026235,4.791667,30.2,103.0,2,5.83152,0.0,62.959999999999994,79.0,87.0,98.28571428571429
1999-02-25,Atlanta,38.8,0.0075,1.466667,32.4,94.0,2,5.83152,0.0,46.94,89.0,96.0,66.71428571428571
1999-02-25,Los Angeles,47.826087,0.031882,2.113043,25.5,79.0,2,7.192208000000001,0.0,55.94,73.0,103.0,87.42857142857143
1999-02-26,Atlanta,49.25,0.0075,1.754167,30.3,89.0,2,2.91576,0.0,55.04,110.0,94.0,74.28571428571429
