STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USC00096407,"NORCROSS, GA US",2000-01-01,,,,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",2000-01-01,55.0,64.0,46.0,
USC00090444,"ATLANTA 9 NW, GA US",2000-01-01,,,,
USC00095404,"MABLETON 1 N, GA US",2000-01-01,,69.0,39.0,49.0
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2000-01-01,58.0,66.0,49.0,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2000-01-01,54.0,67.0,41.0,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",2000-01-02,59.0,67.0,51.0,
USC00090444,"ATLANTA 9 NW, GA US",2000-01-02,,,,
USC00096407,"NORCROSS, GA US",2000-01-02,,,,
USC00095404,"MABLETON 1 N, GA US",2000-01-02,,67.0,48.0,55.0
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2000-01-02,60.0,68.0,52.0,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2000-01-02,57.0,66.0,48.0,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",2000-01-03,64.0,73.0,54.0,
USC00090444,"ATLANTA 9 NW, GA US",2000-01-03,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2000-01-03,65.0,73.0,57.0,
USC00095404,"MABLETON 1 N, GA US",2000-01-03,,64.0,50.0,55.0
USC00096407,"NORCROSS, GA US",2000-01-03,,,,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2000-01-03,62.0,74.0,50.0,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2000-01-04,53.0,65.0,40.0,
USC00096407,"NORCROSS, GA US",2000-01-04,,,,
USC00090444,"ATLANTA 9 NW, GA US",2000-01-04,,,,
USC00095404,"MABLETON 1 N, GA US",2000-01-04,,76.0,55.0,60.0
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",2000-01-04,53.0,64.0,41.0,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2000-01-04,52.0,64.0,40.0,
USC00096407,"NORCROSS, GA US",2000-01-05,,,,
USC00090444,"ATLANTA 9 NW, GA US",2000-01-05,,,,
USC00095404,"MABLETON 1 N, GA US",2000-01-05,,65.0,34.0,34.0
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2000-01-05,41.0,48.0,33.0,
