Date,Nitrogen Dioxide AQI Value,Main Pollutant,Site Name,Site ID,Source
2011-05-05,58,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2011-05-06,33,Unknown,Burbank,06-037-1002,AQS
2011-05-07,33,Unknown,Santa Clarita,06-037-6012,AQS
2011-05-08,15,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-05-09,29,Unknown,Pico Rivera #2,06-037-1602,AQS
2011-05-10,30,Unknown,Pomona,06-037-1701,AQS
2011-05-11,34,Unknown,Pomona,06-037-1701,AQS
2011-05-12,44,Unknown,Pomona,06-037-1701,AQS
2011-05-13,41,Unknown,Lancaster-Division Street,06-037-9033,AQS
2011-05-14,17,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2011-05-15,23,Unknown,Pomona,06-037-1701,AQS
2011-05-16,29,Unknown,Pico Rivera #2,06-037-1602,AQS
2011-05-17,19,Unknown,Long Beach (North),06-037-4002,AQS
2011-05-18,29,Unknown,Burbank,06-037-1002,AQS
2011-05-19,30,Unknown,Santa Clarita,06-037-6012,AQS
2011-05-20,37,Unknown,Pomona,06-037-1701,AQS
2011-05-21,37,Unknown,Pomona,06-037-1701,AQS
2011-05-22,25,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2011-05-23,29,Unknown,Pico Rivera #2,06-037-1602,AQS
