Date,Nitrogen Dioxide AQI Value,Main Pollutant,Site Name,Site ID,Source
2010-06-17,38,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-06-18,31,Unknown,Pico Rivera #2,06-037-1602,AQS
2010-06-19,33,Unknown,Pomona,06-037-1701,AQS
2010-06-20,32,Unknown,Pomona,06-037-1701,AQS
2010-06-21,27,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-06-22,33,Unknown,Pomona,06-037-1701,AQS
2010-06-23,53,Unknown,Lancaster-Division Street,06-037-9033,AQS
2010-06-24,42,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-06-25,42,Unknown,Pomona,06-037-1701,AQS
2010-06-26,21,Unknown,Santa Clarita,06-037-6012,AQS
2010-06-27,22,Unknown,Santa Clarita,06-037-6012,AQS
2010-06-28,42,Unknown,Lancaster-Division Street,06-037-9033,AQS
2010-06-29,45,Unknown,Lancaster-Division Street,06-037-9033,AQS
2010-06-30,38,Unknown,Pomona,06-037-1701,AQS
2010-07-01,44,Unknown,Pomona,06-037-1701,AQS
2010-07-02,45,Unknown,Lancaster-Division Street,06-037-9033,AQS
2010-07-03,29,Unknown,Santa Clarita,06-037-6012,AQS
2010-07-04,20,Unknown,Glendora,06-037-0016,AQS
2010-07-05,17,Unknown,Long Beach (North),06-037-4002,AQS
2010-07-06,34,Unknown,Lancaster-Division Street,06-037-9033,AQS
2010-07-07,31,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-07-08,34,Unknown,Lancaster-Division Street,06-037-9033,AQS
2010-07-09,42,Unknown,Lancaster-Division Street,06-037-9033,AQS
2010-07-10,34,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-07-11,24,Unknown,Pomona,06-037-1701,AQS
2010-07-12,34,Unknown,Pomona,06-037-1701,AQS
2010-07-13,56,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-07-14,53,Unknown,Pomona,06-037-1701,AQS
2010-07-15,52,Unknown,Pomona,06-037-1701,AQS
2010-07-16,54,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-07-17,48,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
