STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
US1GAGW0005,"LILBURN 0.8 SSE, GA US",2010-01-01,,,,
USC00090444,"ATLANTA 9 NW, GA US",2010-01-01,,,,
US1GACB0016,"MARIETTA 8.3 NE, GA US",2010-01-01,,,,
US1GADK0002,"TUCKER 2.3 W, GA US",2010-01-01,,,,
US1GAFT0019,"EAST POINT 6.3 WNW, GA US",2010-01-01,,,,
USC00095404,"MABLETON 1 N, GA US",2010-01-01,,44,36,40
US1GADK0017,"AVONDALE ESTATES 1.0 NE, GA US",2010-01-01,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2010-01-01,,47,29,
US1GADK0004,"NORTH ATLANTA 0.5 ESE, GA US",2010-01-01,,,,
US1GADK0015,"AVONDALE ESTATES 0.9 NNE, GA US",2010-01-01,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",2010-01-01,,,,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2010-01-01,,47,30,
US1GADK0018,"DUNWOODY 1.1 NW, GA US",2010-01-01,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",2010-01-01,,,,
US1GADK0013,"DECATUR 1.2 SE, GA US",2010-01-01,,,,
US1GAFT0002,"NORTH ATLANTA 2.0 SW, GA US",2010-01-01,,,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",2010-01-01,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",2010-01-01,,,,
US1GADK0001,"TUCKER 1.3 ENE, GA US",2010-01-01,,,,
US1GADK0012,"LITHONIA 3.2 SW, GA US",2010-01-01,,,,
USC00092753,"DORAVILLE 2 NNE, GA US",2010-01-01,,,,
US1GADK0011,"NORTH ATLANTA 2.8 ESE, GA US",2010-01-01,,,,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",2010-01-01,,46,29,
US1GADK0008,"CLARKSTON 0.9 NE, GA US",2010-01-01,,,,
US1GAFT0005,"ATLANTA 3.7 N, GA US",2010-01-01,,,,
USC00090444,"ATLANTA 9 NW, GA US",2010-01-02,,,,
US1GACB0016,"MARIETTA 8.3 NE, GA US",2010-01-02,,,,
USC00092753,"DORAVILLE 2 NNE, GA US",2010-01-02,,,,
US1GADK0002,"TUCKER 2.3 W, GA US",2010-01-02,,,,
US1GADK0011,"NORTH ATLANTA 2.8 ESE, GA US",2010-01-02,,,,
USC00095404,"MABLETON 1 N, GA US",2010-01-02,,49,23,23
US1GADK0015,"AVONDALE ESTATES 0.9 NNE, GA US",2010-01-02,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2010-01-02,,33,23,
US1GAFT0005,"ATLANTA 3.7 N, GA US",2010-01-02,,,,
US1GADK0008,"CLARKSTON 0.9 NE, GA US",2010-01-02,,,,
US1GADK0004,"NORTH ATLANTA 0.5 ESE, GA US",2010-01-02,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",2010-01-02,,,,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2010-01-02,,33,23,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",2010-01-02,,32,22,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",2010-01-02,,,,
US1GADK0012,"LITHONIA 3.2 SW, GA US",2010-01-02,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",2010-01-02,,,,
US1GADK0013,"DECATUR 1.2 SE, GA US",2010-01-02,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",2010-01-02,,,,
US1GAFT0002,"NORTH ATLANTA 2.0 SW, GA US",2010-01-02,,,,
US1GADK0018,"DUNWOODY 1.1 NW, GA US",2010-01-02,,,,
US1GAFT0019,"EAST POINT 6.3 WNW, GA US",2010-01-02,,,,
US1GADK0001,"TUCKER 1.3 ENE, GA US",2010-01-02,,,,
US1GADK0017,"AVONDALE ESTATES 1.0 NE, GA US",2010-01-02,,,,
US1GADK0015,"AVONDALE ESTATES 0.9 NNE, GA US",2010-01-03,,,,
US1GACB0005,"SMYRNA 3.0 SSE, GA US",2010-01-03,,,,
US1GADK0011,"NORTH ATLANTA 2.8 ESE, GA US",2010-01-03,,,,
US1GACB0016,"MARIETTA 8.3 NE, GA US",2010-01-03,,,,
USC00095404,"MABLETON 1 N, GA US",2010-01-03,,34,18,18
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",2010-01-03,,,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",2010-01-03,,,,
US1GAFT0002,"NORTH ATLANTA 2.0 SW, GA US",2010-01-03,,,,
USC00092753,"DORAVILLE 2 NNE, GA US",2010-01-03,,,,
US1GAFT0019,"EAST POINT 6.3 WNW, GA US",2010-01-03,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2010-01-03,,34,18,
US1GADK0008,"CLARKSTON 0.9 NE, GA US",2010-01-03,,,,
US1GACB0002,"SMYRNA 2.3 NE, GA US",2010-01-03,,,,
US1GADK0004,"NORTH ATLANTA 0.5 ESE, GA US",2010-01-03,,,,
US1GADK0017,"AVONDALE ESTATES 1.0 NE, GA US",2010-01-03,,,,
US1GADK0002,"TUCKER 2.3 W, GA US",2010-01-03,,,,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",2010-01-03,,32,17,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2010-01-03,,34,19,
USC00090444,"ATLANTA 9 NW, GA US",2010-01-03,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",2010-01-03,,,,
US1GADK0012,"LITHONIA 3.2 SW, GA US",2010-01-03,,,,
US1GADK0018,"DUNWOODY 1.1 NW, GA US",2010-01-03,,,,
US1GADK0013,"DECATUR 1.2 SE, GA US",2010-01-03,,,,
US1GAFT0005,"ATLANTA 3.7 N, GA US",2010-01-03,,,,
US1GACB0005,"SMYRNA 3.0 SSE, GA US",2010-01-04,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",2010-01-04,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",2010-01-04,,,,
USC00095404,"MABLETON 1 N, GA US",2010-01-04,,35,17,17
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",2010-01-04,,,,
US1GADK0004,"NORTH ATLANTA 0.5 ESE, GA US",2010-01-04,,,,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2010-01-04,,31,18,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2010-01-04,,32,17,
US1GAFT0005,"ATLANTA 3.7 N, GA US",2010-01-04,,,,
US1GADK0020,"TUCKER 4.1 SW, GA US",2010-01-04,,,,
US1GADK0012,"LITHONIA 3.2 SW, GA US",2010-01-04,,,,
US1GADK0013,"DECATUR 1.2 SE, GA US",2010-01-04,,,,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",2010-01-04,,32,16,
US1GADK0017,"AVONDALE ESTATES 1.0 NE, GA US",2010-01-04,,,,
US1GADK0015,"AVONDALE ESTATES 0.9 NNE, GA US",2010-01-04,,,,
US1GADK0008,"CLARKSTON 0.9 NE, GA US",2010-01-04,,,,
US1GADK0018,"DUNWOODY 1.1 NW, GA US",2010-01-04,,,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",2010-01-04,,,,
US1GAFT0002,"NORTH ATLANTA 2.0 SW, GA US",2010-01-04,,,,
US1GADK0001,"TUCKER 1.3 ENE, GA US",2010-01-04,,,,
US1GACB0002,"SMYRNA 2.3 NE, GA US",2010-01-04,,,,
US1GAFT0019,"EAST POINT 6.3 WNW, GA US",2010-01-04,,,,
USC00092753,"DORAVILLE 2 NNE, GA US",2010-01-04,,,,
US1GADK0011,"NORTH ATLANTA 2.8 ESE, GA US",2010-01-04,,,,
US1GACB0016,"MARIETTA 8.3 NE, GA US",2010-01-04,,,,
US1GADK0002,"TUCKER 2.3 W, GA US",2010-01-04,,,,
USC00090444,"ATLANTA 9 NW, GA US",2010-01-04,,,,
US1GAFT0019,"EAST POINT 6.3 WNW, GA US",2010-01-05,,,,
USC00092753,"DORAVILLE 2 NNE, GA US",2010-01-05,,,,
US1GAFT0002,"NORTH ATLANTA 2.0 SW, GA US",2010-01-05,,,,
US1GADK0004,"NORTH ATLANTA 0.5 ESE, GA US",2010-01-05,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",2010-01-05,,,,
USC00090444,"ATLANTA 9 NW, GA US",2010-01-05,,,,
US1GADK0013,"DECATUR 1.2 SE, GA US",2010-01-05,,,,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",2010-01-05,,32,17,
US1GADK0017,"AVONDALE ESTATES 1.0 NE, GA US",2010-01-05,,,,
US1GADK0012,"LITHONIA 3.2 SW, GA US",2010-01-05,,,,
US1GADK0020,"TUCKER 4.1 SW, GA US",2010-01-05,,,,
US1GAFT0005,"ATLANTA 3.7 N, GA US",2010-01-05,,,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",2010-01-05,,,,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2010-01-05,,34,18,
US1GADK0018,"DUNWOODY 1.1 NW, GA US",2010-01-05,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",2010-01-05,,,,
US1GACB0002,"SMYRNA 2.3 NE, GA US",2010-01-05,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2010-01-05,,34,17,
US1GADK0001,"TUCKER 1.3 ENE, GA US",2010-01-05,,,,
US1GADK0002,"TUCKER 2.3 W, GA US",2010-01-05,,,,
US1GADK0008,"CLARKSTON 0.9 NE, GA US",2010-01-05,,,,
