Date,Carbon Monoxide AQI Value,Main Pollutant,Site Name,Site ID,Source
2020-03-17,8,Unknown,Compton,06-037-1302,AQS
2020-03-18,8,Unknown,Reseda,06-037-1201,AQS
2020-03-19,7,Unknown,Compton,06-037-1302,AQS
2020-03-20,6,Unknown,Pico Rivera #2,06-037-1602,AQS
2020-03-21,6,Unknown,Pico Rivera #2,06-037-1602,AQS
2020-03-22,9,Unknown,Compton,06-037-1302,AQS
2020-03-23,5,Unknown,Pico Rivera #2,06-037-1602,AQS
2020-03-24,7,Unknown,Compton,06-037-1302,AQS
2020-03-25,5,Unknown,Pico Rivera #2,06-037-1602,AQS
2020-03-26,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-03-27,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-03-28,6,Unknown,Pico Rivera #2,06-037-1602,AQS
2020-03-29,6,Unknown,Pico Rivera #2,06-037-1602,AQS
2020-03-30,6,Unknown,West Los Angeles,06-037-0113,AQS
2020-03-31,11,Unknown,Compton,06-037-1302,AQS
2020-04-01,6,Unknown,Reseda,06-037-1201,AQS
2020-04-02,5,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-04-03,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-04-04,5,Unknown,Pico Rivera #2,06-037-1602,AQS
2020-04-05,3,Unknown,Pico Rivera #2,06-037-1602,AQS
2020-04-06,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-04-07,5,Unknown,Pico Rivera #2,06-037-1602,AQS
2020-04-08,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-04-09,5,Unknown,Pico Rivera #2,06-037-1602,AQS
2020-04-10,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-04-11,6,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2020-04-12,5,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-04-13,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-04-14,7,Unknown,Compton,06-037-1302,AQS
2020-04-15,9,Unknown,Compton,06-037-1302,AQS
2020-04-16,6,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2020-04-17,5,Unknown,Pico Rivera #2,06-037-1602,AQS
2020-04-18,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-04-19,5,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-04-20,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-04-21,5,Unknown,Pico Rivera #2,06-037-1602,AQS
2020-04-22,7,Unknown,Compton,06-037-1302,AQS
2020-04-23,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-04-24,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-04-25,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-04-26,7,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2020-04-27,6,Unknown,Pomona,06-037-1701,AQS
2020-04-28,7,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2020-04-29,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-04-30,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-05-01,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-05-02,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-05-03,5,Unknown,Pico Rivera #2,06-037-1602,AQS
2020-05-04,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-05-05,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-05-06,8,Unknown,Compton,06-037-1302,AQS
2020-05-07,8,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2020-05-08,7,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2020-05-09,6,Unknown,Pico Rivera #2,06-037-1602,AQS
2020-05-10,6,Unknown,Pico Rivera #2,06-037-1602,AQS
2020-05-11,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-05-12,6,Unknown,Pico Rivera #2,06-037-1602,AQS
2020-05-13,5,Unknown,Pico Rivera #2,06-037-1602,AQS
2020-05-14,5,Unknown,Pomona,06-037-1701,AQS
2020-05-15,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-05-16,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-05-17,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-05-18,5,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-05-19,5,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-05-20,5,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-05-21,7,Unknown,Compton,06-037-1302,AQS
2020-05-22,5,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-05-23,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-05-24,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-05-25,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-05-26,7,Unknown,Pomona,06-037-1701,AQS
2020-05-27,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-05-28,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-05-29,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-05-30,5,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-05-31,5,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-01,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-02,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-03,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-04,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-05,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-06,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-07,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-08,6,Unknown,Compton,06-037-1302,AQS
2020-06-09,8,Unknown,Compton,06-037-1302,AQS
2020-06-10,13,Unknown,Compton,06-037-1302,AQS
2020-06-11,7,Unknown,West Los Angeles,06-037-0113,AQS
2020-06-12,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-13,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-14,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-15,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-16,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-17,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-18,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-19,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-20,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-21,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-22,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-23,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-24,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-25,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-26,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-27,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-28,5,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-29,5,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-06-30,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-01,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-02,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-03,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-04,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-05,7,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2020-07-06,7,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2020-07-07,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-07-08,5,Unknown,Anaheim,06-059-0007,AQS
2020-07-09,6,Unknown,Anaheim Near-Road,06-059-0008,AQS
