"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/25/1990","AQS","130850001","2","0.048","ppm","44","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"03/26/1990","AQS","130850001","2","0.03","ppm","28","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"03/27/1990","AQS","130850001","2","0.055","ppm","51","Dawsonville","16","94.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"03/28/1990","AQS","130850001","2","0.064","ppm","80","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"03/29/1990","AQS","130850001","2","0.042","ppm","39","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"03/30/1990","AQS","130850001","2","0.03","ppm","28","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"03/31/1990","AQS","130850001","2","0.043","ppm","40","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/01/1990","AQS","130850001","2","0.05","ppm","46","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/02/1990","AQS","130850001","2","0.051","ppm","47","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/03/1990","AQS","130850001","2","0.038","ppm","35","Dawsonville","16","94.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/04/1990","AQS","130850001","2","0.056","ppm","54","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/05/1990","AQS","130850001","2","0.067","ppm","90","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/06/1990","AQS","130850001","2","0.051","ppm","47","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/07/1990","AQS","130850001","2","0.048","ppm","44","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/08/1990","AQS","130850001","2","0.057","ppm","58","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/09/1990","AQS","130850001","2","0.069","ppm","97","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/10/1990","AQS","130850001","2","0.041","ppm","38","Dawsonville","16","94.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/11/1990","AQS","130850001","2","0.046","ppm","43","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/12/1990","AQS","130850001","2","0.051","ppm","47","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/13/1990","AQS","130850001","2","0.062","ppm","74","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/14/1990","AQS","130850001","2","0.066","ppm","87","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/15/1990","AQS","130850001","2","0.05","ppm","46","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/16/1990","AQS","130850001","2","0.056","ppm","54","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/17/1990","AQS","130850001","2","0.064","ppm","80","Dawsonville","16","94.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/18/1990","AQS","130850001","2","0.056","ppm","54","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/19/1990","AQS","130850001","2","0.057","ppm","58","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/20/1990","AQS","130850001","2","0.051","ppm","47","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/21/1990","AQS","130850001","2","0.041","ppm","38","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/22/1990","AQS","130850001","2","0.052","ppm","48","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/23/1990","AQS","130850001","2","0.061","ppm","71","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/24/1990","AQS","130850001","2","0.069","ppm","97","Dawsonville","16","94.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/25/1990","AQS","130850001","2","0.081","ppm","136","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/26/1990","AQS","130850001","2","0.082","ppm","140","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/27/1990","AQS","130850001","2","0.066","ppm","87","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/28/1990","AQS","130850001","2","0.039","ppm","36","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/29/1990","AQS","130850001","2","0.058","ppm","61","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"04/30/1990","AQS","130850001","2","0.044","ppm","41","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/01/1990","AQS","130850001","2","0.058","ppm","61","Dawsonville","15","88.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/02/1990","AQS","130850001","2","0.064","ppm","80","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/03/1990","AQS","130850001","2","0.057","ppm","58","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/04/1990","AQS","130850001","2","0.049","ppm","45","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/05/1990","AQS","130850001","2","0.047","ppm","44","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/06/1990","AQS","130850001","2","0.051","ppm","47","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/07/1990","AQS","130850001","2","0.064","ppm","80","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/08/1990","AQS","130850001","2","0.077","ppm","122","Dawsonville","16","94.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/09/1990","AQS","130850001","2","0.036","ppm","33","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/10/1990","AQS","130850001","2","0.044","ppm","41","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/11/1990","AQS","130850001","2","0.052","ppm","48","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/12/1990","AQS","130850001","2","0.065","ppm","84","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/13/1990","AQS","130850001","2","0.042","ppm","39","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/14/1990","AQS","130850001","2","0.058","ppm","61","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/15/1990","AQS","130850001","2","0.095","ppm","174","Dawsonville","16","94.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/16/1990","AQS","130850001","2","0.067","ppm","90","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/17/1990","AQS","130850001","2","0.048","ppm","44","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/18/1990","AQS","130850001","2","0.054","ppm","50","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/19/1990","AQS","130850001","2","0.064","ppm","80","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/22/1990","AQS","130850001","2","0.042","ppm","39","Dawsonville","16","94.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/23/1990","AQS","130850001","2","0.049","ppm","45","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
"05/24/1990","AQS","130850001","2","0.087","ppm","154","Dawsonville","17","100.0000","44201","Ozone","014","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","085","Dawson","34.3762272381086","-84.0595064747239"
