"Date","Carbon Monoxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"07/08/2002","10","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/09/2002","10","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/10/2002","7","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/11/2002","11","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/12/2002","10","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/13/2002","10","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/14/2002","8","","Not Available","13-089-1002","AQS"
"07/15/2002","7","","Not Available","13-089-1002","AQS"
"07/16/2002","7","","Not Available","13-089-1002","AQS"
"07/17/2002","7","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/18/2002","6","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/19/2002","6","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/20/2002","5","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/21/2002","7","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/22/2002","14","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/23/2002","11","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/24/2002","14","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/25/2002","11","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/26/2002","7","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/27/2002","5","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/28/2002","5","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/29/2002","5","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/30/2002","5","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"07/31/2002","6","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"08/01/2002","8","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"08/02/2002","10","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"08/03/2002","9","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"08/04/2002","10","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
